name,tagline,votes,id
Mental,How Men Strengthen Their Mindset,5 reviews,1
mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub",3 reviews,2
Yuna AI — Your Mental Health Coach,A safe place for self-discovery,1 review,3
Ash,The first AI designed for therapy,2 reviews,4
todai,Your first personalized happy lifestyle index,3 reviews,5
TherapyAI,AI Therapist for stress and anxiety,5 reviews,6
Unloop,Map the patterns that keep you stuck.,0,7
MYND,24/7 AI Bestie For Your Mental Wellness,0,8
Soula Care,"AI-powered assistant for pregnancy, birth and postpartum",14 reviews,9
Guin - Your GoodMind Buddy,It's all about YOU!,0,10
MoodGallery: Emotions to art,Turn your moods into personalized AI artwork,1 review,11
Life Note,Your Mind Meets History’s Greatest Thinkers,4 reviews,12
FitAction,"AI Coach, Calorie Counter, Workouts, Nutrition, Yoga",0,13
Eve: Workplace Stress AI Coach,"Work Stress Relief, Anytime",0,14
Psyche,Holistic approach to your psyche,2 reviews,15
Reset: Journal to reduce anxiety,Make a habit of challenging anxious thoughts with AI,0,16
Pallie,Hyper-personal AI Friend in Messenger,2 reviews,17
MindGuide,Chat-based AI-Mental Health Coach for iOS,0,18
commitify.me,AI agents that CALL your phone to keep you on track,0,19
Anonymous Health,Overcome addictions and unwanted habits,0,20
Mentat Ai - Your Mental Health,"Mental Health, Personalized support, CBT, Mindfulness",0,21
Friend,The AI Wearable,1 review,22
Nora,24/7 mental health companion without revealing your identity,1 review,23
Clones,Speak to AI Personalities for Every Life Scenario.,0,24
Mentor.AI,Unlock Growth Potential with AI Mentors,6 reviews,25
Bliss Brain,"Tailored meditations, no prerecorded content",3 reviews,26
Breaktime Buddy,Smarter breaks. Sharper mind. Escape the doomscroll.,0,27
Sublime,AI journal that turns your thoughts into real-world actions,2 reviews,28
Plutis,"On-demand, modern-day mental healthcare.",0,29
folsom,connect soulularly,15 reviews,30
Pearl,An AI Journal that reflects with you,0,31
Earkick - AI Therapy & Mental Health App,Easiest way to assess mental readiness in your company,1 review,32
Therapist AI,"Built by Therapists, For Therapists",1 review,33
Reassurance AI,Take Control of Your Mental Health,0,34
Murror,AI that helps you understand your emotions & connect deeper,0,35
Endel,Endel is a cross-platform audio ecosystem,42 reviews,36
Airy,Reflection journal that grows with you,3 reviews,37
Comigo,AI productivity co-pilot for people with ADHD,0,38
Gobi,A new way of well-being,0,39
Expresso,Transforming workplace wellbeing with AI,1 review,40
Sonia AI Therapy,An emotionally intelligent AI-powered therapist,1 review,41
Dreamore AI,"Interpret, Paint, and Share Your Dreams",5 reviews,42
MacroMate,"You best mate, a complete Health and Wellbeing AI App.",1 review,43
Kuky: Connect with someone who gets it,Real connections. Backed by science & AI.,0,44
Your Daily Minute,AI Powered Self Journaling app,0,45
Dreavie,"A journal that listens, reflects, and grows with you",0,46
Panda - Proactive Mental Health,We're on a mission to democratize mental health care.,4 reviews,47
Nemo AI,AI Mental Health Assistant on WhatsApp,3 reviews,48
Streaks66 - Habit Tracker AI,Daily Habits Tracker with AI,0,49
EndurePath,"Track moods, do quests, and grow your character",1 review,50
Hume AI,AI that understands and optimizes for human expression,12 reviews,51
Wendy,AI mental health therapy that won't bore you,0,52
BeGuided AI,Create personalised guided meditations with a single prompt,1 review,53
Auro: Daily Journaling,AI digital voice journal,0,54
Cheerleader AI,Daily motivation from a group of AI friends.,0,55
Joor,Your AI-powered journal 🍃,0,56
Rorrim,Smart AI journal.  Reveal hidden life patterns!,0,57
Tudle,Instant AI therapy,0,58
Calmtopia,The Future of Wellness Starts Within — With a Touch of AI.,0,59
Legion Health,"World-class, AI-enabled psychiatry covered by insurance",0,60
Mental Health Tracker,Get a healthy mind using this Notion template,1 review,61
Therapartners,Your AI-Powered Therapy Assistant,0,62
Lovon AI therapy,Talk it out and feel better,8 reviews,63
TaroTeller,Unveil Your Future with AI-Powered Tarot Insights,0,64
Drip,A.I Powered introspections & journaling,0,65
CompliantChatGPT,"ChatGPT, but HIPAA-Compliant",0,66
"Harmonian AI | Your Mind, All in One.",AI Mental Wellness Platform,0,67
Jumble Journal,AI Copilot 🤖 for journaling and introspection ✍😌,2 reviews,68
Dialed,"AI Pep Talks: Inspiration, Just for You",0,69
Meeno,Level up your social health,0,70
Deepwander,AI-powered introspection and self-exploration platform.,0,71
LeapLife,Improve your mental health with AI-Powered Journaling,0,72
Breathhh,Personal mental shield against stress and anxiety,2 reviews,73
"Voxme: AI coach, insights, guidance",Unleash Your Best Self!,1 review,74
Psychpedia,Explore psychology with AI-powered lessons and mindfulness.,0,75
Pink Piko - AI Emotion Journal,AI-powered mood journaling,5 reviews,76
uLuup,Mindful habits building for imperfect progress,0,77
Friday,AI that calls you for self-reflection,2 reviews,78
CalmAlma,Personalized stories and meditations to improve your sleep,0,79
Seren,Interactive self-reflection,4 reviews,80
Noworry AI Psychologist,Chat with AI psychologist and mental health activities,0,81
DeepKeys,Mental Health Monitoring,0,82
Lily,Your personal AI therpaist,2 reviews,83
PodcastGPT,PodcastGPT: Instant insights from podcasts. Free.,0,84
Rocket Journal,Your AI-powered mental health companion,5 reviews,85
Chatbump AI,Uncover the truth in your relationship with AI chat analysis,1 review,86
therapini,Talk or text with an AI therapist you can trust.,0,87
PeacePulse,The Ultimate Mental Health App,0,88
storylinejournal,The last mindfulness tool you'll need.,0,89
Solid Diary - AI Journal,100% Private AI Diary,0,90
FriendnPal,"""FriendnPal: Your Path to Mental Wellness and Well-Being""",0,91
Introspect Journal,A co-pilot for your thoughts,1 review,92
Mindsum,"Mental health AI bot, resources & therapies for young people",0,93
Luminaries AI,"World-class coaching, powered by AI",0,94
Sayfli,Speak your heart safely: Your AI conversation partner,0,95
Lotus - The Online Therapist,"Step Aside, GPT4: Lotus is Ultimate AI Therapist Chatbot",0,96
Emocional,AI-powered HR software for team emotional wellbeing,0,97
Lifelight: Moment Keeper,Where self-care meets memories,1 review,98
Evra,"Talk, vent, and feel better with 24/7 AI therapy",0,99
Kai ai,Everyday support for today's life challenges,0,100
Dreams,A dream journal to analyze your subconscious better,0,101
Avath,A Gratitude Journal for Visual People,0,102
Menta,"Software that runs clinic’s admin, records, + billing w/ AI",0,103
Astrocyte,"Create, chat & interact with 3D AI characters",0,104
Moments,AI-guided meditations based on how you feel,0,105
Loo.fm,AI tool for thought.,0,106
AI Therapy Hub - your counselor,"ai, counseling, therapy, mental health",0,107
Emotional Support AI,"Emotional support through empathetic AI, powered by ChatGPT.",0,108
Tranquil Expanse,Your Mindful Journal,0,109
Dreamteam AI,🧠 Condense 1000s of Hours of Learning into a Team of AIs,0,110
AtFirst - Daily Affirmations,AI voice-guided daily affirmations to make you happier,0,111
Flourish,AI-Powered Self Therapy,0,112
Dream Decoder,Chat your way to better understanding your dreams,1 review,113
Paradym 2.0,Self therapy: improve your emotional wellbeing,2 reviews,114
JungGPT,JungGPT: Your compact AI companion for emotional insights!,0,115
AI Diary,Write with ease and discover fun insights with AI journaling,1 review,116
Dream Oracles,Interpret and understand your dreams,0,117
BFF (GPT-4 friend in iMessage),Texts you once a day about your life,1 review,118
Writeitdown.ai,An AI powered diary to get insights in your emotions,0,119
The Digital Dogs,Cross-app AI companion platform for immersive realities,1 review,120
ONVY - AI Health Coach,The #1 App to upgrade your wearable experience,1 review,121
AI Dream Meaning,Uncover Hidden Message in Your Dreams with AI-Powered Analys,0,122
Mind Tracker,"mood, health, mind, tracker, emotions, journal, design",1 review,123
Scribble Wise,Journal smarter with AI,0,124
Deep Personality,Science-backed personality insights for you and your partner,0,125
Lyfe,Optimise your mental and physical wellbeing using AI,0,126
Buddio,Mental health for everyone,0,127
Fire.place,Vent your feelings to an AI chatbot for emotional convos,0,128
"TRIPP Mobile - Sleep, Meditate, Relax",TRIPP Expands Interactive Mindfulness Experiences to Mobile,0,129
RelaxFrens,AI Meditation and Sleep App,0,130
LEON Free,A sales focused mental health platform - for free.,0,131
Ubie AI Symptom Checker,Check your symptoms & find possible causes,0,132
Thoughtwriter,A privacy-focused journal and mood tracker,0,133
Ekaant,Ekaant is an AI-based digital well-being platform.,0,134
Lapis News,Your daily dose of good news to spread positivity,0,135
Recipify,5000+ foods based on your diet and cuisine preferences.,1 review,136
Are you ready to freelance?,Self-Assessment scoreboard by freelance.pizza 🍕,0,137
United We Care,Mental Health & AI powdered Wellness,0,138
togetherAI,Mental health & wellness app for families,0,139
Zeve AI,An emotional AI to fight loneliness,1 review,140
Google,Organizing the world's information,71 reviews,141
Adent (2020),Dental care for everyone,0,142
Meru Health,An online medical clinic treating depression and burnout,0,143
Wolf3D,Virtual humans for virtual worlds.,0,144
Manna Cooking,"Recipes, customization & groceries – all in one app.",3 reviews,145
Sunset Health,"Personalized, AI-enabled, programs to tackle burnout",0,146
Not Depressing News 3.0,AI powered peace-of-mind,0,147
Ready Set Dinner,"Simple meal planning, fast shopping and easy cooking",0,148
Callie,The mental wellness app to replace them all,0,149
Amazon,Work Hard. Have Fun. Make History.,17 reviews,150
Aurum Wellness,App to improve your emotional wellness.,0,151
Betty Bot fighting Covid-19,"Stay informed, safe, happy and fit with Betty's good advice.",0,152
MINDRIGHT,"Easy, free way to improve mental health",0,153
Ensu Music Progressions,Change your mood with AI generated playlists.,0,154
Corona Coach,Your digital coach to deal with Coronavirus anxiety,0,155
Pearlii,"Free, fast dental check-ups using AI image processing",0,156
Nuro,Build better brain health,1 review,157
LeaVoice: AI friend for you,Voice message with AI friend who is caring for you 24/7,0,158
Gimme Food,Can’t decide what to eat?,0,159
Android,Android 11,5 reviews,160
ReplikaAI,The AI companion who cares,12 reviews,161
Nao.,A social platform to encourage mental well-being,0,162
Freeletics  Body & Mind Coach,Train with the best digital coach,0,163
Helsie,Your mental health companion,0,164
Wysa,Your 4 am friend and life coach in an anonymous AI bot,0,165
Social Anxiety App,An Assistant for Building Confidence,0,166
Wisdo,Learn from people who've been there,0,167
Maslo,The only AI that is responsive to the human condition.,0,168
TalkLife,A support network for youth mental health,0,169
Apple iOS,A whole new look. On a whole new level.,3 reviews,170
FOCI,Wearable that boosts your focus,0,171
